posx,posy,posz
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.0,0.7511,4.0
3.5893736,0.75110006,3.8877382
4.189303,0.75110006,3.880737
4.989208,0.75110006,3.871402
5.889102,0.7511,3.8609
5.889102,0.7511,3.8609
5.9412966,0.7511,3.2632046
6.601903,0.7511,3.4184768
7.34694,0.7511,3.7097774
7.4400697,0.7511,3.74619
7.4400697,0.7511,3.74619
7.4400697,0.7511,3.74619
7.4400697,0.7511,3.74619
7.4400697,0.7511,3.74619
7.4400697,0.7511,3.74619
7.4400697,0.7511,3.74619
7.4400697,0.7511,3.74619
7.2400794,0.7511,3.74619
7.2400794,0.7511,3.74619
7.2400794,0.7511,3.74619
7.2400794,0.7511,3.74619
7.2400794,0.7511,3.74619
7.2400794,0.7511,3.74619
7.2400794,0.7511,3.74619
7.2400794,0.7511,3.74619
7.2400794,0.7511,3.74619
7.0400896,0.7511,3.74619
7.4358397,0.7511,3.8042064
7.6949983,0.75110006,3.153985
7.866307,0.75110006,2.4763472
7.978212,0.7511,1.9890566
8.115473,0.75110006,1.3026818
8.174299,0.7511,1.0085212
8.174299,0.7511,1.0085212
8.174299,0.7511,1.0085212
7.9743094,0.7511,1.0085212
8.011083,0.7511,1.4068072
7.9435244,0.7511,2.0029614
7.8872256,0.7511,2.4997566
7.795549,0.75110006,3.092681
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.7191515,0.7511,3.5867846
7.9191413,0.7511,3.5867846
8.345916,0.75110006,3.7889435
8.931201,0.75110006,3.8214273
9.631149,0.7511,3.8259425
10.331095,0.75110006,3.8311598
11.131033,0.75110006,3.8371077
11.231025,0.7511,3.8378513
11.231025,0.7511,3.8378513
11.231025,0.7511,3.8378513
11.231025,0.7511,3.8378513
11.231025,0.7511,3.8378513
11.231025,0.7511,3.8378513
11.231025,0.7511,3.8378513
11.231025,0.7511,3.8378513
11.431015,0.7511,3.8378513
11.431015,0.7511,3.8378513
12.021506,0.7511,3.944078
11.826104,0.7511,3.901142
12.425979,0.7511,3.8903983
13.22581,0.7511,3.8760736
14.825474,0.75110006,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.825474,0.7511,3.847424
14.925452,0.7511,3.8456333
14.225489,0.75110006,3.8444755
13.525524,0.75110006,3.8433175
12.825561,0.75110006,3.8421595
12.125596,0.75110006,3.8410017
11.825612,0.7511,3.8405054
11.258964,0.75110006,4.0376716
10.881199,0.7511,4.169115
10.881199,0.7511,4.169115
10.881199,0.7511,4.169115
10.881199,0.7511,4.169115
10.881199,0.7511,4.169115
10.881199,0.7511,4.169115
10.881199,0.7511,4.169115
10.881199,0.7511,4.169115
10.881199,0.7511,4.169115
10.881199,0.7511,4.169115
10.681209,0.7511,4.169115
10.137608,0.75110006,4.1574025
9.713057,0.75110006,3.97998
8.948907,0.75110006,3.9799802
8.510234,0.7511,3.9799802
8.282341,0.7511,3.985636
8.074701,0.7511,4.129229
8.049222,0.7511,4.178494
8.049222,0.7511,4.178494
8.049222,0.7511,4.178494
8.049222,0.7511,4.178494
8.049222,0.7511,4.178494
8.049222,0.7511,4.178494
8.049222,0.7511,4.178494
