posx,posy,posz,tick,turn
1.0,0.7511,1.0,1,1
1.0,0.7511,1.0,1,2
1.0,0.7511,1.0,1,3
1.0,0.7511,1.0,1,4
1.0,0.7511,1.0,1,5
1.0,0.7511,1.0,1,6
1.0,0.7511,1.0,1,7
1.0,0.7511,1.0,1,8
1.19999,0.7511,1.0,1,9
1.6199734,0.7511,1.5599687,1,10
2.3095932,0.7511,2.2840714,1,11
2.654403,0.7511,2.6461227,1,12
3.3590097,0.7511,3.3556504,1,13
3.6408522,0.7511,3.6394615,1,14
3.6408522,0.7511,3.6394615,1,15
3.6408522,0.7511,3.6394615,1,16
3.6408522,0.7511,3.6394615,1,17
3.6408522,0.7511,3.6394615,1,18
3.6408522,0.7511,3.6394615,1,19
3.6408522,0.7511,3.6394615,1,20
3.6408522,0.7511,3.6394615,1,21
3.6408522,0.7511,3.6394615,1,22
3.6408522,0.7511,3.6394615,1,23
3.5698996,0.7511,3.709922,1,24
3.5698996,0.7511,3.709922,1,25
4.30959,0.75110006,4.3827953,1,26
3.9824724,0.7511,4.0046825,1,27
3.9437387,0.75110006,5.0038824,1,28
3.9166253,0.7511,5.703322,1,29
3.0725965,0.75110006,6.2395267,1,30
3.5427563,0.75110006,7.1220517,1,31
3.7308202,0.7511,7.4750614,1,32
4.667316,0.75110006,7.1245255,1,33
4.760966,0.7511,7.089472,1,34
4.760966,0.7511,7.089472,1,35
4.760966,0.7511,7.089472,1,36
4.760966,0.7511,7.089472,1,37
4.760966,0.7511,7.089472,1,38
4.760966,0.7511,7.089472,1,39
4.760966,0.7511,7.089472,1,40
4.760966,0.7511,7.089472,1,41
4.760966,0.7511,7.089472,1,42
4.760966,0.7511,7.089472,1,43
4.9609556,0.7511,7.089472,1,44
4.076261,0.75110006,7.555536,1,45
3.726737,0.7511,8.04318,1,46
3.726737,0.7511,8.04318,1,47
3.726737,0.7511,8.04318,1,48
3.726737,0.7511,8.04318,1,49
3.726737,0.7511,8.04318,1,50
3.726737,0.7511,8.04318,1,51
3.726737,0.7511,8.04318,1,52
3.726737,0.7511,8.04318,1,53
3.645463,0.7511,7.9849257,1,54
3.645463,0.7511,7.9849257,1,55
3.6992447,0.7511,7.9006257,1,56
4.6035776,0.75110006,7.2744775,1,57
